Batavia	1657	Jakarta, Indonesië
Japan	1056	Japan
Ceylon	1053	Sri Lanka
Malacca	999	Malakka, Maleisië
China	992	China
India	941	India
Bantam	832	Banten, Indonesië
Banda	751	Banda, Indonesië
Goa	708	Goa, India
Bengale	700	West-Bengalen
Amboina	641	Ambon, Indonesië
Siam	628	Thailand
Nederland	536	Nederland
Souratta	507	Surat, India
Gamron	459	O
Colombo	453	Colombo, Sri Lanka
Java	451	Java, Indonesië
Cormandel	441	Madras, India
BATAVIA	437	Jakarta, Indonesië
Macassar	429	Macassar, Indonesië
Tayouan	429	Anping, Taiwan
Suratte	425	Surat, India
Europa	417	Europa
Persia	401	Iran
Jamby	395	Jambi, Indonesië
Mocha	383	Mokka, Jemen
Nagapatnam	352	Nagapattinam, India
Samarang	337	Semarang, Indonesië
Padang	314	Padang, Indonesië
Palembang	288	Palembang, Indonesië
Mallabaar	288	Malabar, India
Amsterdam	283	Amsterdam, Nederland
Manilha	267	Manilla, Filipijnen
Bengalen	261	West-Bengalen
Timor	257	Timor, Indonesië
Gale	254	Galle, Sri Lanka
Rotterdam	244	Rotterdam, Nederland
Ternaten	234	O
Golconda	219	Golconda fort, India
Cochim	217	Kochi, India
Parsia	203	Persia, Iran
Spahan	201	Isfahan, Iran
Canton	199	Guangzhou, China
patria	195	Nederland
Formosa	192	Taiwan
Macao	191	Macao, China
Chormandel	185	Coromandel, India
Atchin	182	Atchin, Vanuatu
Pattena	172	Kakkat, India
Jambij	171	Jambi, Indonesië
Indiën	170	India
Japara	170	Jepara, Indonesië
Jaffanapatnam	167	Jaffna, Sri Lanka
Tayoan	165	Taiwan
Coromandel	161	Coromandel, India
Ternate	155	Ternate, Indonesië
Ceram	154	Seram, Indonesië
Maccassar	154	Ujung Pandang, Indonesië
Masulipatnam	152	Bandar, India
Macasser	151	Makassar, Indonesië
Zeeland	150	Zeeland, Nederland
Bima	146	Bima, Indonesië
Suratta	146	Surat, India
Cheribon	142	Cirebon, Indonesië
Johor	135	Johor, Maleisië
Wingurla	135	Vengurla, India
Queda	133	O
Cust	132	O
Ougly	131	hugli chuchura, West-Bengalen
Palicol	130	Palikol, India
Celebes	129	Sulawesi, Indonesië
Palliacatta	126	Pulicat, India
Baros	125	Barus, Indonesië
Priaman	122	Priaman, Indonesië
Sadraspatnam	120	Sadras, India
Cambodja	120	Cambodja
Madras	118	Madras, India
Masilipatnam	118	Bandar, India
Caab	117	Kanyakumari, India
Mazulipatnam	117	Bandar, India
Hoorn	117	Hoorn, Nederland
Souratte	116	Surat, India
Makassar	115	Ujung Pandang, Indonesië
Jedo	115	Tokyo, Japan
Cartasoera	115	O
Agra	110	Agra, India
Tutucorijn	109	Tuticorin, India
Tematen	105	O
Engelandt	105	Engeland
Portugael	104	Portugal
Bassoura	102	Basrah, Iraq
Bouton	101	Buton, Indonesië
Pera	101	O
Maccauw	101	Macao, China
Engeland	99	Engeland
Sourabaya	97	Surabaya, Indonesië
Jappan	97	Japan
Rade	96	O
Bimilipatnam	96	Bheemunipatnam, India
Solor	96	Solor, Indonesië
Malakka	95	Malakka, Maleisië
Pegu	94	Pegu, Myanmar
Paliacatta	93	Tamil Nadu, India
Houglij	92	hugli chuchura, West-Bengalen
Madure	91	Madura, Indonesië
Delft	91	Delft, Nederland
Manado	88	Manado, Indonesië
Indrapoura	88	Inderapura, Indonesië
Comp.8	87	O
Madraspatnam	86	Madras, India
Bengala	86	West-Bengalen
Decca	85	Dekan, India
Comp.es	85	O
Palimbangh	84	Palimbang, Filipijnen
Straat	83	O
Sumatra	81	Sumatra, Indonesië
Patna	81	Patna, India
Engelant	80	Engeland
Macquian	78	Makian, Indonesië
Custe	78	Malabar, India
Malabar	77	Malabar, India
Choromandel	77	Coromandel, India
Borneo	76	Borneo, Indonesië
Ligor	74	Nakhon Si Thammarat, Thailand
Portonovo	74	Parangipettai, India
Madagascar	73	Madagascar
Indien	73	O
Cochin	73	Kochi, India
Mauritius	73	Mauritius
Djambi	72	Jambi, Indonesië
Amboyna	72	Maluku, Indonesië
Negombo	71	Negombo, Sri Lanka
Tayouhan	71	O
Toncquin	70	Hanoi, Vietnam
Firando	70	Hirado, Japan
Nederlandt	70	Nederland
Persiën	69	Iran
Banca	68	Banka, Indonesië
Molucco	68	Molukken, Indonesië
Achin	67	Achin, Afganistan
Riouw	64	Riau, Indonesië
Battavia	64	Jakarta, Indonesië
Mature	62	??
Johoor	61	Johor, Maleisië
Tagal	61	Tegal, Indonesië
Porto Novo	61	Porto-Novo, Benin
Ambon	60	Ambon, Indonesië
Quinam	60	Saigon, Vietnam
de Molucos	60	Molukken, Indonesië
Teyouan	60	Anping, Taiwan
Candia	59	O
Cheylon	58	Sri Lanka
Canara	57	Kanara, India
Carcal	57	Karkal, India
Westcust	56	O
